fecha,ipp
1999-06-01,49.29
1999-07-01,50.14
1999-08-01,50.93
1999-09-01,51.67
1999-10-01,52.16
1999-11-01,52.64
1999-12-01,52.97
2000-01-01,53.71
2000-02-01,54.71
2000-03-01,55.45
2000-04-01,56.35
2000-05-01,56.64
2000-06-01,57.0
2000-07-01,57.6
2000-08-01,57.89
2000-09-01,58.36
2000-10-01,58.37
2000-11-01,58.44
2000-12-01,58.82
2001-01-01,59.87
2001-02-01,60.93
2001-03-01,61.51
2001-04-01,62.4
2001-05-01,62.91
2001-06-01,62.76
2001-07-01,62.8
2001-08-01,62.99
2001-09-01,63.04
2001-10-01,62.79
2001-11-01,62.71
2001-12-01,62.89
2002-01-01,63.16
2002-02-01,63.35
2002-03-01,63.7
2002-04-01,63.94
2002-05-01,64.38
2002-06-01,64.61
2002-07-01,65.21
2002-08-01,66.0
2002-09-01,67.3
2002-10-01,68.4
2002-11-01,68.36
2002-12-01,68.73
2003-01-01,69.5
2003-02-01,70.37
2003-03-01,71.01
2003-04-01,71.78
2003-05-01,71.82
2003-06-01,71.68
2003-07-01,71.83
2003-08-01,71.95
2003-09-01,71.92
2003-10-01,72.04
2003-11-01,72.41
2003-12-01,72.66
2004-01-01,73.16
2004-02-01,73.86
2004-03-01,74.26
2004-04-01,74.74
2004-05-01,75.62
2004-06-01,75.89
2004-07-01,75.59
2004-08-01,75.66
2004-09-01,75.89
2004-10-01,76.22
2004-11-01,76.38
2004-12-01,76.03
2005-01-01,76.4
2005-02-01,77.04
2005-03-01,77.92
2005-04-01,77.84
2005-05-01,77.89
2005-06-01,77.97
2005-07-01,77.89
2005-08-01,77.87
2005-09-01,77.56
2005-10-01,77.91
2005-11-01,77.75
2005-12-01,77.61
2006-01-01,78.18
2006-02-01,78.31
2006-03-01,79.05
2006-04-01,80.42
2006-05-01,81.01
2006-06-01,81.69
2006-07-01,82.0
2006-08-01,82.0
2006-09-01,82.19
2006-10-01,82.02
2006-11-01,81.82
2006-12-01,81.91
2007-01-01,82.07
2007-02-01,82.18
2007-03-01,82.41
2007-04-01,82.28
2007-05-01,81.53
2007-06-01,80.87
2007-07-01,80.48
2007-08-01,80.66
2007-09-01,81.44
2007-10-01,81.53
2007-11-01,82.14
2007-12-01,82.95
2008-01-01,83.91
2008-02-01,85.38
2008-03-01,85.18
2008-04-01,85.38
2008-05-01,85.93
2008-06-01,87.31
2008-07-01,88.21
2008-08-01,87.92
2008-09-01,89.41
2008-10-01,91.16
2008-11-01,91.14
2008-12-01,90.41
2009-01-01,89.09
2009-02-01,90.69
2009-03-01,90.97
2009-04-01,90.98
2009-05-01,90.48
2009-06-01,89.7
2009-07-01,89.43
2009-08-01,88.81
2009-09-01,88.07
2009-10-01,87.44
2009-11-01,87.61
2009-12-01,88.43
2010-01-01,89.52
2010-02-01,90.29
2010-03-01,90.81
2010-04-01,91.24
2010-05-01,91.69
2010-06-01,91.61
2010-07-01,91.06
2010-08-01,90.57
2010-09-01,90.07
2010-10-01,89.76
2010-11-01,90.81
2010-12-01,92.3
2011-01-01,93.39
2011-02-01,94.45
2011-03-01,95.33
2011-04-01,95.53
2011-05-01,96.11
2011-06-01,95.94
2011-07-01,95.4
2011-08-01,95.45
2011-09-01,96.1
2011-10-01,97.11
2011-11-01,97.25
2011-12-01,97.39
2012-01-01,96.9
2012-02-01,97.03
2012-03-01,96.82
2012-04-01,97.02
2012-05-01,96.88
2012-06-01,95.27
2012-07-01,95.1
2012-08-01,95.57
2012-09-01,96.2
2012-10-01,96.01
